PrimaryKey,PlotKey,PlotID,State,County,ID
18072710302389682018-09-01,1807271030238968,GR-301,CO,San Miguel,189
15060409332389322015-09-01,1506040933238932,43,CO,NA,190
1706280917226432017-09-01,170628091722643,Oak-1165,CO,Gunnison,191
15072117415644452015-09-01,1507211741564445,8068 THE GAP 1,CO,NA,192
18072614134935652018-09-01,1807261413493565,MS-206,CO,Dolores,193
COS01000_2019_SS-0742019-09-01,COS01000_2019_SS-074,SS-074,CO,COS01000,194
16070616104011272016-09-01,1607061610401127,Oak-147,CO,Gunnison,195
CO_CO-NWD-2020_PJ-477_V12020-09-01,CO_CO-NWD-2020_PJ-477_V1,PJ-477,CO,Grand Junction Field Office,196
COS08000_2019_GOS-1472019-09-01,COS08000_2019_GOS-147,GOS-147,CO,COS08000,197
CO_Gunnison-Field-Office-2020_Alpine-233_V12020-09-01,CO_Gunnison-Field-Office-2020_Alpine-233_V1,Alpine-233,CO,Gunnison Field Office,198
COS01000_2019_PJ-0152019-09-01,COS01000_2019_PJ-015,PJ-015,CO,COS01000,199
150730164645132015-09-01,15073016464513,167,CO,NA,200
16072213214511292016-09-01,1607221321451129,SS-523,CO,Mesa,201
16070113223054222016-09-01,1607011322305422,Cotton-068,CO,Gunnison,202
CO_Gunnison-Field-Office-2020_Cotton-068_V22020-09-01,CO_Gunnison-Field-Office-2020_Cotton-068_V2,Cotton-068,CO,Gunnison Field Office,203
CO_TRFO-2020_SS-099_V12020-09-01,CO_TRFO-2020_SS-099_V1,SS-099,CO,Tres Rios Field Office,204
18061918255394762018-09-01,1806191825539476,Oak-2044,CO,Gunnison,205
1507290822002162015-09-01,150729082200216,155,CO,NA,206
18062518524059862018-09-01,1806251852405986,Oak-2051,CO,Gunnison,207
18060112313052242018-09-01,1806011231305224,SS-071,CO,San Miguel,208
17062210323460642017-09-01,1706221032346064,Oak-1166,CO,Gunnison,209
16061510440249492016-09-01,1606151044024949,PJ-371,CO,Mesa,210
17070609404254382017-09-01,1707060940425438,Oak-1222,CO,Gunnison,211
18070211495947242018-09-01,1807021149594724,Aspen-2215,CO,Hinsdale,212
